sru_type,altitude,visibility,search_object_en,search_object_size,sweep_width
FIXED,600,3,POWERBOAT,16,2.60
FIXED,600,3,POWERBOAT,24,2.80
FIXED,600,3,RAFT,1,0.60
FIXED,600,3,RAFT,4,0.90
FIXED,600,3,RAFT,6,1.10
FIXED,600,3,RAFT,8,1.20
FIXED,600,3,RAFT,10,1.20
FIXED,600,3,RAFT,15,1.40
FIXED,600,3,RAFT,20,1.50
FIXED,600,3,RAFT,25,1.60
FIXED,600,3,SAILBOAT,5,1.60
FIXED,600,3,SAILBOAT,8,2.10
FIXED,600,3,SAILBOAT,12,2.50
FIXED,600,3,SAILBOAT,15,2.70
FIXED,600,3,SAILBOAT,21,2.70
FIXED,600,3,SAILBOAT,25,2.80
FIXED,600,3,SHIP,27,2.90
FIXED,600,3,SHIP,46,2.90
FIXED,600,3,SHIP,47,3.00
FIXED,600,3,SHIP,91,3.00
FIXED,600,3,SHIP,92,3.00
FIXED,600,5,PIW,1,0.00
FIXED,600,5,POWERBOAT,5,1.30
FIXED,600,5,POWERBOAT,6,2.50
FIXED,600,5,POWERBOAT,10,3.40
FIXED,600,5,POWERBOAT,16,4.50
FIXED,600,5,POWERBOAT,24,5.00
FIXED,600,5,RAFT,1,0.90
FIXED,600,5,RAFT,4,1.30
FIXED,600,5,RAFT,6,1.60
FIXED,600,5,RAFT,8,1.70
FIXED,600,5,RAFT,10,1.80
FIXED,600,5,RAFT,15,2.00
FIXED,600,5,RAFT,20,2.20
FIXED,600,5,RAFT,25,2.40
FIXED,600,5,SAILBOAT,5,2.30
FIXED,600,5,SAILBOAT,8,3.30
FIXED,600,5,SAILBOAT,12,4.30
FIXED,600,5,SAILBOAT,15,4.60
FIXED,600,5,SAILBOAT,21,4.90
FIXED,600,5,SAILBOAT,25,5.10
FIXED,600,5,SHIP,27,5.40
FIXED,600,5,SHIP,46,5.40
FIXED,600,5,SHIP,47,5.70
FIXED,600,5,SHIP,91,5.70
FIXED,600,5,SHIP,92,5.80
FIXED,600,10,PIW,1,0.00
FIXED,600,10,POWERBOAT,5,1.80
FIXED,600,10,POWERBOAT,6,3.80
FIXED,600,10,POWERBOAT,10,5.50
FIXED,600,10,POWERBOAT,16,8.30
FIXED,600,10,POWERBOAT,24,9.80
FIXED,600,10,RAFT,1,1.20
FIXED,600,10,RAFT,4,1.90
FIXED,600,10,RAFT,6,2.30
FIXED,600,10,RAFT,8,2.50
FIXED,600,10,RAFT,10,2.70
FIXED,600,10,RAFT,15,3.00
FIXED,600,10,RAFT,20,3.40
FIXED,600,10,RAFT,25,3.60
FIXED,600,10,SAILBOAT,5,3.50
FIXED,600,10,SAILBOAT,8,5.20
FIXED,600,10,SAILBOAT,12,7.70
FIXED,600,10,SAILBOAT,15,8.60
FIXED,600,10,SAILBOAT,21,9.40
FIXED,600,10,SAILBOAT,25,10.00
FIXED,600,10,SHIP,27,11.10
FIXED,600,10,SHIP,46,11.10
FIXED,600,10,SHIP,47,12.50
FIXED,600,10,SHIP,91,12.50
